번호,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,관리기관전화번호,WGS84위도,WGS84경도,데이터기준일자
1,부산광역시 사하구청,부산광역시 사하구 하신중앙로17번길_27,부산광역시 사하구 장림동 1143,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.080571,128.961338,2023-02-16
2,부산광역시 사하구청,부산광역시 사하구 장평로135번길_21,부산광역시 사하구 장림동 608-52,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.078774,128.972097,2023-02-16
3,부산광역시 사하구청,부산광역시 사하구 장평로71번길_50,부산광역시 사하구 장림동 566-9,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.070799,128.970949,2023-02-16
4,부산광역시 사하구청,부산광역시 사하구 장평로125번길_125,부산광역시 사하구 장림동 625-23,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.078661,128.96992,2023-02-16
5,부산광역시 사하구청,부산광역시 사하구 다대로257번길 5,부산광역시 사하구 장림동 241-2,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.079671,128.978228,2023-02-16
6,부산광역시 사하구청,부산광역시 사하구 동매로66번길_6,부산광역시 사하구 하단동 381-2,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.102415,128.96543,2023-02-16
7,부산광역시 사하구청,부산광역시 사하구 괴정로 28,부산광역시 사하구 하단동 403-1,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.103176,128.967104,2023-02-16
8,부산광역시 사하구청,부산광역시 사하구 낙동대로457번길_52,부산광역시 사하구 하단동 612,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.104401,128.965928,2023-02-16
9,부산광역시 사하구청,부산광역시 사하구 동매로92번길_21,부산광역시 사하구 하단동 320-11,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.101404,128.968259,2023-02-16
10,부산광역시 사하구청,부산광역시 사하구 낙동대로519번길_8,부산광역시 사하구 하단동 483,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.110336,128.964951,2023-02-16
11,부산광역시 사하구청,부산광역시 사하구 낙동남로1347번길_25,부산광역시 사하구 하단동 884,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.107772,128.959279,2023-02-16
12,부산광역시 사하구청,부산광역시 사하구 낙동남로 1356-3,부산광역시 사하구 하단동 870-98,다목적,2,200,360도 전방면,30,2016-11,051-220-4344,35.105225,128.960614,2023-02-16
13,부산광역시 사하구청,부산광역시 사하구 하신번영로300번길100-8,부산광역시 사하구 하단동 515-18,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.107362,128.964557,2023-02-16
14,부산광역시 사하구청,부산광역시 사하구 하신번영로380번길_22,부산광역시 사하구 하단동 480,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.113789,128.961112,2023-02-16
15,부산광역시 사하구청,부산광역시 사하구 낙동대로474번길_9,부산광역시 사하구 하단동 530-29,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.107223,128.96876,2023-02-16
16,부산광역시 사하구청,부산광역시 사하구 승학로_256,부산광역시 사하구 괴정동 1026-81,다목적,3,200,360도 전방면,30,2016-11,051-220-4344,35.1022895,128.992458,2023-02-16
17,부산광역시 사하구청,부산광역시 사하구 구평동 63-14,부산광역시 사하구 구평동 63-14,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.0859309,128.9896202,2023-02-16
18,부산광역시 사하구청,부산광역시 사하구 다대로130번안길_36-14,부산광역시 사하구 신평동 13-27,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.094036,128.9775744,2023-02-16
19,부산광역시 사하구청,부산광역시 사하구 낙동남로_1379,부산광역시 사하구 하단동 524-44,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.1064434,128.9630382,2023-02-16
20,부산광역시 사하구청,부산광역시 사하구 옥천로24번길_33,부산광역시 사하구 감천동 20-108,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.089746,129.006772,2023-02-16
21,부산광역시 사하구청,부산광역시 사하구 감천로139번길_84,부산광역시 사하구 감천동 20-63,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.090271,129.006911,2023-02-16
22,부산광역시 사하구청,부산광역시 사하구 옥천로54번길_39,부산광역시 사하구 감천동 26-9,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.090189,129.008635,2023-02-16
23,부산광역시 사하구청,부산광역시 사하구 감내1로10번길 8,부산광역시 사하구 감천동 26-33,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.090384,129.008888,2023-02-16
24,부산광역시 사하구청,부산광역시 사하구 옥천로70번길_92,부산광역시 사하구 감천동 13-1277,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.092444,129.011088,2023-02-16
25,부산광역시 사하구청,부산광역시 사하구 옥천로_31-8,부산광역시 사하구 감천동 551-9,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.090728,129.005949,2023-02-16
26,부산광역시 사하구청,부산광역시 사하구 옥천로70번길_23,부산광역시 사하구 감천동 13-1499,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.09262,129.009525,2023-02-16
27,부산광역시 사하구청,부산광역시 사하구 감내1로_144,부산광역시 사하구 감천동 12-303,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.094321,129.008426,2023-02-16
28,부산광역시 사하구청,부산광역시 사하구 감내1로 135-2,부산광역시 사하구 감천동 12-416,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.094212,129.008004,2023-02-16
29,부산광역시 사하구청,부산광역시 사하구 감내1로163번길_1,부산광역시 사하구 감천동 12-15,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.095302,129.008524,2023-02-16
30,부산광역시 사하구청,부산광역시 사하구 감내2로_60,부산광역시 사하구 감천동 11-90,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.095801,129.007123,2023-02-16
31,부산광역시 사하구청,부산광역시 사하구 감내1로175번길_102,부산광역시 사하구 감천동 6-1923,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.097388,129.008427,2023-02-16
32,부산광역시 사하구청,부산광역시 사하구 감내2로_187-5,부산광역시 사하구 감천동 2-7,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.098179,129.010683,2023-02-16
33,부산광역시 사하구청,부산광역시 사하구 감내2로_165,부산광역시 사하구 감천동 2-5,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.099035,129.009617,2023-02-16
34,부산광역시 사하구청,부산광역시 사하구 감내2로_150,부산광역시 사하구 감천동 2-190,다목적,1,200,360도 전방면,30,2016-11,051-220-4344,35.098472,129.009118,2023-02-16
35,부산광역시 사하구청,부산광역시 사하구 하단2동 1151-8,부산광역시 사하구 하단2동 1151-8,다목적,2,200,360도 전방면,30,2016-11,051-220-4344,35.1082844,128.9457178,2023-02-16
36,부산광역시 사하구청,부산광역시 사하구 하단1동 1149-13,부산광역시 사하구 하단1동 1149-13,다목적,2,200,360도 전방면,30,2016-11,051-220-4344,35.1077314,128.9472467,2023-02-16
37,부산광역시 사하구청,부산광역시 사하구 장평로 320,부산광역시 사하구 신평1동 10-91,다목적,1,200,360도 전방면,30,2022-09,051-220-4344,35.0935927,128.9751256,2023-02-16
38,부산광역시 사하구청,부산광역시 사하구 장평로 320,부산광역시 사하구 신평1동 10-91,다목적,1,200,360도 전방면,30,2022-09,051-220-4344,35.0935927,128.9751256,2023-02-16
39,부산광역시 사하구청,부산광역시 사하구 장평로 320,부산광역시 사하구 신평1동 10-91,다목적,1,200,360도 전방면,30,2022-09,051-220-4344,35.0935927,128.9751256,2023-02-16
40,부산광역시 사하구청,부산광역시 사하구 장평로 320,부산광역시 사하구 신평1동 10-91,다목적,1,200,360도 전방면,30,2022-09,051-220-4344,35.0935927,128.9751256,2023-02-16
41,부산광역시 사하구청,부산광역시 사하구 장평로326번길 13,부산광역시 사하구 신평1동 11-125,다목적,1,200,360도 전방면,30,2016-06,051-220-4344,35.093799,128.9757961,2023-02-16
42,부산광역시 사하구청,부산광역시 사하구 장평로326번길 5,부산광역시 사하구 신평1동 11-89,다목적,1,200,360도 전방면,30,2016-06,051-220-4344,35.0935971,128.9758551,2023-02-16
43,부산광역시 사하구청,부산광역시 사하구 원양로 382,부산광역시 사하구 감천동 385,다목적,3,200,360도 전방면,30,2016-09,051-220-4344,35.0846316,129.0058744,2023-02-16
44,부산광역시 사하구청,부산광역시 사하구 원양로 348,부산광역시 사하구 감천동 381,다목적,3,200,360도 전방면,30,2016-09,051-220-4344,35.0818397,129.0057135,2023-02-16
45,부산광역시 사하구청,부산광역시 사하구 원양로 310,부산광역시 사하구 원양로 310,다목적,3,200,360도 전방면,30,2016-09,051-220-4344,35.0787053,129.0057671,2023-02-16
46,부산광역시 사하구청,부산광역시 사하구 다대동 1621-1,부산광역시 사하구 다대동 1621-1,다목적,1,200,360도 전방면,30,2017-08,051-220-4344,35.0612228,128.9610688,2023-02-16
47,부산광역시 사하구청,부산광역시 사하구 다대동 1401,부산광역시 사하구 다대동 1401,다목적,1,200,360도 전방면,30,2017-08,051-220-4344,35.0613274,128.9620605,2023-02-16
48,부산광역시 사하구청,부산광역시 사하구 다대동 1021,부산광역시 사하구 다대동 1021,다목적,1,200,360도 전방면,30,2017-08,051-220-4344,35.0612939,128.9624997,2023-02-16
49,부산광역시 사하구청,부산광역시 사하구 다대동 1395,부산광역시 사하구 다대동 1395,다목적,1,200,360도 전방면,30,2017-08,051-220-4344,35.0616128,128.9624239,2023-02-16
50,부산광역시 사하구청,부산광역시 사하구 하신중앙로3번다길 3,부산광역시 사하구 장림동 961-14,다목적,1,200,360도 전방면,30,2017-12,051-220-4344,35.07717,128.96115,2023-02-16
51,부산광역시 사하구청,부산광역시 사하구 다산로 217,부산광역시 사하구 다대동 1501-2,다목적,1,200,360도 전방면,30,2017-12,051-220-4344,35.0723242,128.9553093,2023-02-16
52,부산광역시 사하구청,부산광역시 사하구 장림번영로28번길 70,부산광역시 사하구 장림동 859-1,다목적,1,200,360도 전방면,30,2017-12,051-220-4344,35.0776335,128.9673632,2023-02-16
53,부산광역시 사하구청,부산광역시 사하구 하신중앙로54번길 30,부산광역시 사하구 장림동 1033-14,다목적,1,200,360도 전방면,30,2017-12,051-220-4344,35.0846107,128.9680029,2023-02-16
54,부산광역시 사하구청,부산광역시 사하구 하신중앙로27번길 17,부산광역시 사하구 장림동 1146,다목적,1,200,360도 전방면,30,2017-12,051-220-4344,35.0815072,128.9628276,2023-02-16
55,부산광역시 사하구청,부산광역시 사하구 장림시장9길 108,부산광역시 사하구 장림동 640-110,다목적,1,200,360도 전방면,30,2017-12,051-220-4344,35.0797505,128.9675868,2023-02-16
56,부산광역시 사하구청,부산광역시 사하구 장림시장4길 68,부산광역시 사하구 장림동 641-220,다목적,1,200,360도 전방면,30,2017-12,051-220-4344,35.0808104,128.9669856,2023-02-16
57,부산광역시 사하구청,부산광역시 사하구 장림번영로37번길 9,부산광역시 사하구 장림동 325-36,다목적,1,200,360도 전방면,30,2017-12,051-220-4344,35.0811615,128.9693343,2023-02-16
58,부산광역시 사하구청,부산광역시 사하구 장림동 163-27,부산광역시 사하구 장림동 163-27,다목적,1,200,360도 전방면,30,2017-12,051-220-4344,35.082384,128.9750504,2023-02-16
59,부산광역시 사하구청,부산광역시 사하구 장평로336,부산광역시 사하구 신평동 14-1,다목적,1,200,360도 전방면,30,2017-12,051-220-4344,35.09472,128.9764,2023-02-16
60,부산광역시 사하구청,부산광역시 사하구 다대로 636,부산광역시 사하구 다대동 1552-2,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.04954,128.969917,2023-02-16
61,부산광역시 사하구청,부산광역시 사하구 다대동로70번길 31,부산광역시 사하구 다대동 1446,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.058003,128.975838,2023-02-16
62,부산광역시 사하구청,부산광역시 사하구 다대동로70번길 31,부산광역시 사하구 다대동 1446,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.058003,128.975838,2023-02-16
63,부산광역시 사하구청,부산광역시 사하구 다대낙조2길 199,부산광역시 사하구 다대동 1550-3,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.053008,128.968987,2023-02-16
64,부산광역시 사하구청,부산광역시 사하구 다대낙조2길 199,부산광역시 사하구 다대동 1550-3,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.053008,128.968987,2023-02-16
65,부산광역시 사하구청,부산광역시 사하구 윤공단로75번길 43,부산광역시 사하구 다대동 1639,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.058398,128.965822,2023-02-16
66,부산광역시 사하구청,부산광역시 사하구 윤공단로75번길 43,부산광역시 사하구 다대동 1639,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.058398,128.965822,2023-02-16
67,부산광역시 사하구청,부산광역시 사하구 윤공단로75번길 43,부산광역시 사하구 다대동 1639,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.058398,128.965822,2023-02-16
68,부산광역시 사하구청,부산광역시 사하구 다대로 605번길 17,부산광역시 사하구 다대동 680-23,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.052529,128.973412,2023-02-16
69,부산광역시 사하구청,부산광역시 사하구 다대로 605번길 17,부산광역시 사하구 다대동 680-23,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.052529,128.973412,2023-02-16
70,부산광역시 사하구청,부산광역시 사하구 두송로144번길 69,부산광역시 사하구 다대동 산 9,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.070555,128.982087,2023-02-16
71,부산광역시 사하구청,부산광역시 사하구 두송로144번길 69,부산광역시 사하구 다대동 산 9,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.070555,128.982087,2023-02-16
72,부산광역시 사하구청,부산광역시 사하구 두송로144번길 69,부산광역시 사하구 다대동 산 9,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.070555,128.982087,2023-02-16
73,부산광역시 사하구청,부산광역시 사하구 두송로144번길 69,부산광역시 사하구 다대동 산 9,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.070555,128.982087,2023-02-16
74,부산광역시 사하구청,부산광역시 사하구 다송로72번길 80,부산광역시 사하구 다대동 1572,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.059697,128.979407,2023-02-16
75,부산광역시 사하구청,부산광역시 사하구 다송로72번길 80,부산광역시 사하구 다대동 1572,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.059697,128.979407,2023-02-16
76,부산광역시 사하구청,부산광역시 사하구 다송로72번길 80,부산광역시 사하구 다대동 1572,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.059697,128.979407,2023-02-16
77,부산광역시 사하구청,부산광역시 사하구 다송로72번길 80,부산광역시 사하구 다대동 1572,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.059697,128.979407,2023-02-16
78,부산광역시 사하구청,부산광역시 사하구 다대로 447,부산광역시 사하구 다대동 1432-8,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.06323701,128.979444,2023-02-16
79,부산광역시 사하구청,부산광역시 사하구 다대로 447,부산광역시 사하구 다대동 1432-8,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.0632370,128.979444,2023-02-16
80,부산광역시 사하구청,부산광역시 사하구 다대로 447,부산광역시 사하구 다대동 1432-8,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.0632370,128.979444,2023-02-16
81,부산광역시 사하구청,부산광역시 사하구 다대동 1601,부산광역시 사하구 다대동 1601,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.061399,128.987131,2023-02-16
82,부산광역시 사하구청,부산광역시 사하구 다대동 1601,부산광역시 사하구 다대동 1601,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.061399,128.987131,2023-02-16
83,부산광역시 사하구청,부산광역시 사하구 다대로381번길 101,부산광역시 사하구 다대동 94-6,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.06388,128.986394,2023-02-16
84,부산광역시 사하구청,부산광역시 사하구 다대로381번길 101,부산광역시 사하구 다대동 94-6,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.06388,128.986394,2023-02-16
85,부산광역시 사하구청,부산광역시 사하구 다대로381번길 101,부산광역시 사하구 다대동 94-6,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.06388,128.986394,2023-02-16
86,부산광역시 사하구청,부산광역시 사하구 다대로381번길 101,부산광역시 사하구 다대동 94-6,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.06388,128.986394,2023-02-16
87,부산광역시 사하구청,부산광역시 사하구 감천동 140-2,부산광역시 사하구 감천동 140-2,다목적,1,200,360도 전방면,30,2020-11,051-220-4344,35.083823,129.00656,2023-02-16
88,부산광역시 사하구청,부산광역시 사하구 장림시장7길 115,부산광역시 사하구 장림2동 638-11,다목적,1,200,360도 전방면,30,2018-12,051-220-4344,35.080031,128.967926,2023-02-16
89,부산광역시 사하구청,부산광역시 사하구 오작로3번길 32,부산광역시 사하구 괴정3동 441-40,다목적,1,200,360도 전방면,30,2018-12,051-220-4344,35.09854,128.995363,2023-02-16
90,부산광역시 사하구청,부산광역시 사하구 사하로186번나길 18,부산광역시 사하구 괴정3동 1014-1,다목적,1,200,360도 전방면,30,2018-12,051-220-4344,35.099253,128.994923,2023-02-16
91,부산광역시 사하구청,부산광역시 사하구 사하로186번가길 14,부산광역시 사하구 괴정3동 1014-11,다목적,1,200,360도 전방면,30,2018-12,051-220-4344,35.099031,128.994725,2023-02-16
92,부산광역시 사하구청,부산광역시 사하구 장림시장7길 94,부산광역시 사하구 장림1동 640-49,다목적,1,200,360도 전방면,30,2018-12,051-220-4344,35.080161,128.967331,2023-02-16
93,부산광역시 사하구청,부산광역시 사하구 장림시장7길 30,부산광역시 사하구 장림1동 808-116,다목적,1,200,360도 전방면,30,2018-12,051-220-4344,35.080618,128.965665,2023-02-16
94,부산광역시 사하구청,부산광역시 사하구 장림시장1길 24,부산광역시 사하구 장림1동 641-28,다목적,1,200,360도 전방면,30,2018-12,051-220-4344,35.081342,128.966604,2023-02-16
95,부산광역시 사하구청,부산광역시 사하구 장림시장3길 8,부산광역시 사하구 장림1동 808-9,다목적,1,200,360도 전방면,30,2018-12,051-220-4344,35.081224,128.965885,2023-02-16
96,부산광역시 사하구청,부산광역시 사하구 비봉로54번안길 22,부산광역시 사하구 신평2동 산 107-5,다목적,2,200,360도 전방면,30,2018-12,051-220-4344,35.099544,128.966598,2023-02-16
97,부산광역시 사하구청,부산광역시 사하구 비봉로54번안길 9,부산광역시 사하구 신평2동 430-11,다목적,3,200,360도 전방면,30,2018-12,051-220-4344,35.099009,128.966218,2023-02-16
98,부산광역시 사하구청,부산광역시 사하구 비봉로54번길 12,부산광역시 사하구 신평2동 430-3,다목적,2,200,360도 전방면,30,2018-12,051-220-4344,35.09845,128.966193,2023-02-16
99,부산광역시 사하구청,부산광역시 사하구 비봉로 46,부산광역시 사하구 신평2동 428,다목적,2,200,360도 전방면,30,2018-12,051-220-4344,35.098145,128.965488,2023-02-16
100,부산광역시 사하구청,부산광역시 사하구 대티로 80,부산광역시 사하구 괴정2동 88-1,다목적,4,200,360도 전방면,30,2018-12,051-220-4344,35.106861,129.007935,2023-02-16
101,부산광역시 사하구청,부산광역시 사하구 괴정1동 1244-5번지,부산광역시 사하구 괴정1동 1244-5번지,다목적,3,200,360도 전방면,30,2019-08,051-220-4344,35.106854,128.999725,2023-02-16
102,부산광역시 사하구청,부산광역시 사하구 감천동 632-2,부산광역시 사하구 감천동 632-2,다목적,3,200,360도 전방면,30,2019-08,051-220-4344,35.09221134,128.9993571,2023-02-16
103,부산광역시 사하구청,부산광역시 사하구 다대로165,부산광역시 사하구 신평동 582-1,다목적,4,200,360도 전방면,30,2019-11,051-220-4344,35.08743993,128.9776901,2023-02-16
104,부산광역시 사하구청,부산광역시 사하구 신산로177,부산광역시 사하구 신평동 586-5,다목적,4,200,360도 전방면,30,2019-11,051-220-4344,35.08993993,128.9750001,2023-02-16
105,부산광역시 사하구청,부산광역시 사하구 다대로137번길 78,부산광역시 사하구 신평동 41-51,다목적,4,200,360도 전방면,30,2019-11,051-220-4344,35.09057993,128.9795001,2023-02-16
106,부산광역시 사하구청,부산광역시 사하구 다대로135번길 39,부산광역시 사하구 신평동 31-14,다목적,4,200,360도 전방면,30,2019-11,051-220-4344,35.09171993,128.9795401,2023-02-16
107,부산광역시 사하구청,부산광역시 사하구 장평로 301번길 15,부산광역시 사하구 신평동 166-4,다목적,3,200,360도 전방면,30,2019-11,051-220-4344,35.09369993,128.9729701,2023-02-16
108,부산광역시 사하구청,부산광역시 사하구 신산북로49번길 5,부산광역시 사하구 신평동 334,다목적,4,200,360도 전방면,30,2019-11,051-220-4344,35.09140993,128.9701701,2023-02-16
109,부산광역시 사하구청,부산광역시 사하구 신산북로67번길 12,부산광역시 사하구 신평동 272-3,다목적,4,200,360도 전방면,30,2019-11,051-220-4344,35.09150993,128.9720601,2023-02-16
110,부산광역시 사하구청,부산광역시 사하구 다대로126번길 77,부산광역시 사하구 신평동 111-148,다목적,5,200,360도 전방면,30,2019-11,051-220-4344,35.09258993,128.9763901,2023-02-16
111,부산광역시 사하구청,부산광역시 사하구 다대로135번길 30-19,부산광역시 사하구 신평동 산36-5,다목적,3,200,360도 전방면,30,2019-11,051-220-4344,35.09010993,128.9803101,2023-02-16
112,부산광역시 사하구청,부산광역시 사하구 다대로142번길 118,부산광역시 사하구 신평동 111-604,다목적,3,200,360도 전방면,30,2019-11,051-220-4344,35.09210993,128.9751701,2023-02-16
113,부산광역시 사하구청,부산광역시 사하구 신평동 452-5,부산광역시 사하구 신평동 452-5,다목적,4,200,360도 전방면,30,2019-11,051-220-4344,35.09782993,128.9610301,2023-02-16
114,부산광역시 사하구청,부산광역시 사하구 하신번영로151번길 20,부산광역시 사하구 신평동 631-1,다목적,5,200,360도 전방면,30,2019-11,051-220-4344,35.09614993,128.9589101,2023-02-16
115,부산광역시 사하구청,부산광역시 사하구 하신번영로173번길 35,부산광역시 사하구 신평동 636,다목적,3,200,360도 전방면,30,2019-11,051-220-4344,35.09824993,128.9581801,2023-02-16
116,부산광역시 사하구청,부산광역시 사하구 하신번영로179번길59,부산광역시 사하구 신평동 594-5,다목적,3,200,360도 전방면,30,2019-11,051-220-4344,35.09883993,128.9568201,2023-02-16
117,부산광역시 사하구청,부산광역시 사하구 비봉로21번길 22,부산광역시 사하구 신평동 417-7,다목적,4,200,360도 전방면,30,2019-11,051-220-4344,35.09790993,128.9636101,2023-02-16
118,부산광역시 사하구청,부산광역시 사하구 비봉로 36,부산광역시 사하구 신평동 409-13,다목적,4,200,360도 전방면,30,2019-11,051-220-4344,35.09747993,128.9653501,2023-02-16
119,부산광역시 사하구청,부산광역시 사하구 구평동 501,부산광역시 사하구 구평동 501,다목적,5,200,360도 전방면,30,2019-11,051-220-4344,35.08368993,128.9848101,2023-02-16
120,부산광역시 사하구청,부산광역시 사하구 구평동 508,부산광역시 사하구 구평동 508,다목적,4,200,360도 전방면,30,2019-11,051-220-4344,35.08173993,128.9879101,2023-02-16
121,부산광역시 사하구청,부산광역시 사하구 을숙도대로755번길 50,부산광역시 사하구 구평동 7-2,다목적,4,200,360도 전방면,30,2019-11,051-220-4344,35.08867993,128.9876301,2023-02-16
122,부산광역시 사하구청,부산광역시 사하구 서포로30번길 26,부산광역시 사하구 구평동 517,다목적,4,200,360도 전방면,30,2019-11,051-220-4344,35.08160993,128.9865001,2023-02-16
123,부산광역시 사하구청,부산광역시 사하구 서포로 7,부산광역시 사하구 구평동 117-14,다목적,4,200,360도 전방면,30,2019-11,051-220-4344,35.08425993,128.9843501,2023-02-16
124,부산광역시 사하구청,부산광역시 사하구 감천항로 527,부산광역시 사하구 구평동 494-11,다목적,4,200,360도 전방면,30,2019-11,051-220-4344,35.04805993,129.0001301,2023-02-16
125,부산광역시 사하구청,부산광역시 사하구 감천항로405번길 54,부산광역시 사하구 구평동 483-3,다목적,4,200,360도 전방면,30,2019-11,051-220-4344,35.05433993,128.9977201,2023-02-16
126,부산광역시 사하구청,부산광역시 사하구 감천로157번길41,부산광역시 사하구 감천동 52-5,다목적,4,200,360도 전방면,30,2019-11,051-220-4344,35.08470993,129.0097101,2023-02-16
127,부산광역시 사하구청,부산광역시 사하구 사하로 106-1,부산광역시 사하구 감천동 826-26,다목적,4,200,360도 전방면,30,2019-11,051-220-4344,35.09151993,128.9939701,2023-02-16
128,부산광역시 사하구청,부산광역시 사하구 감천로43번길41,부산광역시 사하구 감천동 610-1,다목적,4,200,360도 전방면,30,2019-11,051-220-4344,35.09258993,128.9984401,2023-02-16
129,부산광역시 사하구청,부산광역시 사하구 감천로37번길 35,부산광역시 사하구 감천동 614-4,다목적,5,200,360도 전방면,30,2019-11,051-220-4344,35.09225993,128.9965501,2023-02-16
