번호,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,관리기관전화번호,WGS84위도,WGS84경도,데이터기준일자
130,부산광역시 사하구청,부산광역시 사하구 감천동 452-3,부산광역시 사하구 감천동 452-3,다목적,5,200,360도 전방면,30,2019-11,051-220-4344,35.08762993,129.0049901,2023-02-16
131,부산광역시 사하구청,부산광역시 사하구 감천로142번길 10,부산광역시 사하구 감천동 76-1,다목적,4,200,360도 전방면,30,2019-11,051-220-4344,35.08586993,129.0066101,2023-02-16
132,부산광역시 사하구청,부산광역시 사하구 천해로 129,부산광역시 사하구 감천동 28-3,다목적,5,200,360도 전방면,30,2019-11,051-220-4344,35.08795993,129.0085601,2023-02-16
133,부산광역시 사하구청,부산광역시 사하구 감천로139번길 55-1,부산광역시 사하구 감천동 23,다목적,3,200,360도 전방면,30,2019-11,051-220-4344,35.08895993,129.0063201,2023-02-16
134,부산광역시 사하구청,부산광역시 사하구 감천로43번길 25-4,부산광역시 사하구 감천1동 624-2,다목적,3,200,360도 전방면,30,2019-11,051-220-4344,35.09223993,128.9979401,2023-02-16
135,부산광역시 사하구청,부산광역시 사하구 감천로73번길 24,부산광역시 사하구 감천동 635-11,다목적,4,200,360도 전방면,30,2019-11,051-220-4344,35.09048993,129.0002101,2023-02-16
136,부산광역시 사하구청,부산광역시 사하구 감천로93번길14,부산광역시 사하구 감천동 502-50,다목적,3,200,360도 전방면,30,2019-11,051-220-4344,35.08911993,129.0024001,2023-02-16
137,부산광역시 사하구청,부산광역시 사하구 감천로83번길 11,부산광역시 사하구 감천동 500-60,다목적,4,200,360도 전방면,30,2019-11,051-220-4344,35.08933993,129.0015501,2023-02-16
138,부산광역시 사하구청,부산광역시 사하구 옥천로 42,부산광역시 사하구 감천동 19-52,다목적,5,200,360도 전방면,30,2019-11,051-220-4344,35.09100993,129.0068601,2023-02-16
139,부산광역시 사하구청,부산광역시 사하구 감천로105번길 74,부산광역시 사하구 감천동 523-35,다목적,3,200,360도 전방면,30,2019-11,051-220-4344,35.09069993,129.0053001,2023-02-16
140,부산광역시 사하구청,부산광역시 사하구 옥천로 24번길 9,부산광역시 사하구 감천동 545-11,다목적,4,200,360도 전방면,30,2019-11,051-220-4344,35.08913993,129.0059701,2023-02-16
141,부산광역시 사하구청,부산광역시 사하구 감천로 138,부산광역시 사하구 감천동 397-1,다목적,5,200,360도 전방면,30,2019-11,051-220-4344,35.08655993,129.0062801,2023-02-16
142,부산광역시 사하구청,부산광역시 사하구 감천로103번길 33,부산광역시 사하구 감천동 520-4,다목적,4,200,360도 전방면,30,2019-11,051-220-4344,35.08943993,129.0028101,2023-02-16
143,부산광역시 사하구청,부산광역시 사하구 감내2로 117,부산광역시 사하구 감천동 2-394,다목적,5,200,360도 전방면,30,2019-11,051-220-4344,35.09753993,129.0079601,2023-02-16
144,부산광역시 사하구청,부산광역시 사하구 감내1로 200,부산광역시 사하구 감천동 10-154,다목적,4,200,360도 전방면,30,2019-11,051-220-4344,35.09654993,129.0094501,2023-02-16
145,부산광역시 사하구청,부산광역시 사하구 감천로169-4,부산광역시 사하구 감천동 53-5,다목적,3,200,360도 전방면,30,2019-11,051-220-4344,35.08482993,129.0090901,2023-02-16
146,부산광역시 사하구청,부산광역시 사하구 사하로125번길 6-10,부산광역시 사하구 괴정동 612-5,다목적,3,200,360도 전방면,30,2019-12,051-220-4344,35.09256,128.99255,2023-02-16
147,부산광역시 사하구청,부산광역시 사하구 낙동대로249번길 7,부산광역시 사하구 괴정동894-4,다목적,3,200,360도 전방면,30,2019-12,051-220-4344,35.09882,128.99001,2023-02-16
148,부산광역시 사하구청,부산광역시 사하구 괴정로270번길 29,부산광역시 사하구 괴정동 488-4,다목적,4,200,360도 전방면,30,2019-12,051-220-4344,35.09535,128.99132,2023-02-16
149,부산광역시 사하구청,부산광역시 사하구 회화나무길 25,부산광역시 사하구 괴정동 810-3,다목적,4,200,360도 전방면,30,2019-12,051-220-4344,35.10052,128.98967,2023-02-16
150,부산광역시 사하구청,부산광역시 사하구 괴정로284번길 24,부산광역시 사하구 괴정동 486-28,다목적,3,200,360도 전방면,30,2019-12,051-220-4344,35.0961,128.99145,2023-02-16
151,부산광역시 사하구청,부산광역시 사하구 승학로233번길1,부산광역시 사하구 괴정동 1054-3,다목적,3,200,360도 전방면,30,2019-12,051-220-4344,35.10205,128.99007,2023-02-16
152,부산광역시 사하구청,부산광역시 사하구 낙동대로271,부산광역시 사하구 괴정동 749-2,다목적,3,200,360도 전방면,30,2019-12,051-220-4344,35.09911,128.98768,2023-02-16
153,부산광역시 사하구청,부산광역시 사하구 낙동대로96,부산광역시 사하구 괴정동 172-2,다목적,3,200,360도 전방면,30,2019-12,051-220-4344,35.10459,129.00463,2023-02-16
154,부산광역시 사하구청,부산광역시 사하구 대티로17번길9,부산광역시 사하구 괴정동 207-19,다목적,3,200,360도 전방면,30,2019-12,051-220-4344,35.10464,129.00146,2023-02-16
155,부산광역시 사하구청,부산광역시 사하구 사리로 8,부산광역시 사하구 괴정동 382-5,다목적,2,200,360도 전방면,30,2019-12,051-220-4344,35.10059,128.99967,2023-02-16
156,부산광역시 사하구청,부산광역시 사하구 대티로80번길 26,부산광역시 사하구 괴정동 69-15,다목적,2,200,360도 전방면,30,2019-12,051-220-4344,35.10707,129.00874,2023-02-16
157,부산광역시 사하구청,부산광역시 사하구 괴정동 1279,부산광역시 사하구 괴정동 1279,다목적,3,200,360도 전방면,30,2019-12,051-220-4344,35.10529,128.99965,2023-02-16
158,부산광역시 사하구청,부산광역시 사하구 까치고개로20번길 3-10,부산광역시 사하구 괴정동 354-75,다목적,3,200,360도 전방면,30,2019-12,051-220-4344,35.1032,129.00475,2023-02-16
159,부산광역시 사하구청,부산광역시 사하구 대티로 61,부산광역시 사하구 괴정동 188-26,다목적,4,200,360도 전방면,30,2019-12,051-220-4344,35.10636,129.00582,2023-02-16
160,부산광역시 사하구청,부산광역시 사하구 승학로281,부산광역시 사하구 괴정동 260-988,다목적,3,200,360도 전방면,30,2019-12,051-220-4344,35.10248,128.99506,2023-02-16
161,부산광역시 사하구청,부산광역시 사하구 낙동대로199번길 23,부산광역시 사하구 괴정동 434-4,다목적,3,200,360도 전방면,30,2019-12,051-220-4344,35.09955,128.99582,2023-02-16
162,부산광역시 사하구청,부산광역시 사하구 사하로 198,부산광역시 사하구 괴정동 964-17,다목적,4,200,360도 전방면,30,2019-12,051-220-4344,35.09935,128.9936,2023-02-16
163,부산광역시 사하구청,부산광역시 사하구 승학로224번길 107,부산광역시 사하구 괴정동 260-601,다목적,3,200,360도 전방면,30,2019-12,051-220-4344,35.10202,128.99537,2023-02-16
164,부산광역시 사하구청,부산광역시 사하구 괴정로 145,부산광역시 사하구 당리동 338-21,다목적,3,200,360도 전방면,30,2019-12,051-220-4344,35.0994,128.97803,2023-02-16
165,부산광역시 사하구청,부산광역시 사하구 낙동대로302번길 15,부산광역시 사하구 괴정동 576-1,다목적,3,200,360도 전방면,30,2019-12,051-220-4344,35.10034,128.98376,2023-02-16
166,부산광역시 사하구청,부산광역시 사하구 낙동대로280번길 40,부산광역시 사하구 괴정동 764-56,다목적,3,200,360도 전방면,30,2019-12,051-220-4344,35.10037,128.98487,2023-02-16
167,부산광역시 사하구청,부산광역시 사하구 마하로48번길 21,부산광역시 사하구 괴정동 1068-5,다목적,4,200,360도 전방면,30,2019-12,051-220-4344,35.10407,128.985,2023-02-16
168,부산광역시 사하구청,부산광역시 사하구 승학로165번길 23,부산광역시 사하구 괴정동 1080-19,다목적,2,200,360도 전방면,30,2019-12,051-220-4344,35.10251,128.98453,2023-02-16
169,부산광역시 사하구청,부산광역시 사하구 낙동대로302번길 64,부산광역시 사하구 괴정동 1079-1,다목적,2,200,360도 전방면,30,2019-12,051-220-4344,35.10249,128.98306,2023-02-16
170,부산광역시 사하구청,부산광역시 사하구 동매로 73-1,부산광역시 사하구 하단동 611-52,다목적,3,200,360도 전방면,30,2019-12,051-220-4344,35.10271,128.9663,2023-02-16
171,부산광역시 사하구청,부산광역시 사하구 하신번영로 262,부산광역시 사하구 하단동 897-12,다목적,4,200,360도 전방면,30,2019-12,051-220-4344,35.104359,128.958332,2023-02-16
172,부산광역시 사하구청,부산광역시 사하구 낙동남로 1390번길 5,부산광역시 사하구 하단동 592-4,다목적,4,200,360도 전방면,30,2019-12,051-220-4344,35.10554,128.96375,2023-02-16
173,부산광역시 사하구청,부산광역시 사하구 동매로 12,부산광역시 사하구 하단동 896,다목적,3,200,360도 전방면,30,2019-12,051-220-4344,35.10358,128.95963,2023-02-16
174,부산광역시 사하구청,부산광역시 사하구 동매로23번길 22,부산광역시 사하구 하단동 604-1,다목적,4,200,360도 전방면,30,2019-12,051-220-4344,35.10469,128.96129,2023-02-16
175,부산광역시 사하구청,부산광역시 사하구 하신번영로 186,부산광역시 사하구 하단동 1181-25,다목적,3,200,360도 전방면,30,2019-12,051-220-4344,35.09895,128.96001,2023-02-16
176,부산광역시 사하구청,부산광역시 사하구 하신번영로380번길 115,부산광역시 사하구 하단동 503-9,다목적,4,200,360도 전방면,30,2019-12,051-220-4344,35.109429,128.9602,2023-02-16
177,부산광역시 사하구청,부산광역시 사하구 하신번영로 365,부산광역시 사하구 하단동1161-2,다목적,3,200,360도 전방면,30,2019-12,051-220-4344,35.11277,128.95989,2023-02-16
178,부산광역시 사하구청,부산광역시 사하구 하신번영로 376,부산광역시 사하구 하단동 483,다목적,3,200,360도 전방면,30,2019-12,051-220-4344,35.11474,128.96087,2023-02-16
179,부산광역시 사하구청,부산광역시 사하구 낙동대로550번길 16-6,부산광역시 사하구 하단동 492-6,다목적,2,200,360도 전방면,30,2019-12,051-220-4344,35.11284,128.96512,2023-02-16
180,부산광역시 사하구청,부산광역시 사하구 낙동대로519번길 54,부산광역시 사하구 하단동 483,다목적,3,200,360도 전방면,30,2019-12,051-220-4344,35.11063,128.96252,2023-02-16
181,부산광역시 사하구청,부산광역시 사하구 하신번영로 312,부산광역시 사하구 하단동 885-9,다목적,3,200,360도 전방면,30,2019-12,051-220-4344,35.10881,128.95875,2023-02-16
182,부산광역시 사하구청,부산광역시 사하구 승학로71,부산광역시 사하구 당리동 322,다목적,3,200,360도 전방면,30,2019-12,051-220-4344,35.1045,128.97593,2023-02-16
183,부산광역시 사하구청,부산광역시 사하구 승학로2,부산광역시 사하구 당리동 314,다목적,4,200,360도 전방면,30,2019-12,051-220-4344,35.10637,128.96923,2023-02-16
184,부산광역시 사하구청,부산광역시 사하구 낙동대로356번길 33-2,부산광역시 사하구 당리동 343-20,다목적,4,200,360도 전방면,30,2019-12,051-220-4344,35.10285,128.98031,2023-02-16
185,부산광역시 사하구청,부산광역시 사하구 제석로95번길 26,부산광역시 사하구 당리동 33-41,다목적,4,200,360도 전방면,30,2019-12,051-220-4344,35.10924,128.97733,2023-02-16
186,부산광역시 사하구청,부산광역시 사하구 제석로 112,부산광역시 사하구 당리동 544-1,다목적,4,200,360도 전방면,30,2019-12,051-220-4344,35.10924,128.97733,2023-02-16
187,부산광역시 사하구청,부산광역시 사하구 제석로 77,부산광역시 사하구 당리동 48-1,다목적,3,200,360도 전방면,30,2019-12,051-220-4344,35.10716,128.97567,2023-02-16
188,부산광역시 사하구청,부산광역시 사하구 사하로 156-1,부산광역시 사하구 괴정동 477-28,다목적,4,200,360도 전방면,30,2019-12,051-220-4344,35.09563,128.99372,2023-02-16
189,부산광역시 사하구청,부산광역시 사하구 낙동대로519번길 60,부산광역시 사하구 하단동 500-24,다목적,2,200,360도 전방면,30,2019-12,051-220-4344,35.11078,128.96215,2023-02-16
190,부산광역시 사하구청,부산광역시 사하구 낙동남로1357번길 5,부산광역시 사하구 하단동 870-213,다목적,2,200,360도 전방면,30,2019-12,051-220-4344,35.11078,128.96215,2023-02-16
191,부산광역시 사하구청,부산광역시 사하구 감천로43번길 25-14,부산광역시 사하구 감천1동 622-1,다목적,3,200,360도 전방면,30,2019-12,051-220-4344,35.09252,128.99782,2023-02-16
192,부산광역시 사하구청,부산광역시 사하구 감천로21번길 54,부산광역시 사하구 감천동 613-4,다목적,4,200,360도 전방면,30,2019-12,051-220-4344,35.09268,128.99746,2023-02-16
193,부산광역시 사하구청,부산광역시 사하구 까치고개로 72,부산광역시 사하구 괴정동 1-5,다목적,3,200,360도 전방면,30,2019-12,051-220-4344,35.10445,129.00903,2023-02-16
194,부산광역시 사하구청,부산광역시 사하구 장림동 873-7,부산광역시 사하구 장림동 873-7,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.077174,128.962609,2023-02-16
195,부산광역시 사하구청,부산광역시 사하구 장림동 873-7,부산광역시 사하구 장림동 873-7,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.0771741,128.962609,2023-02-16
196,부산광역시 사하구청,부산광역시 사하구 장림동 873-7,부산광역시 사하구 장림동 873-7,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.0770380,128.9629702,2023-02-16
197,부산광역시 사하구청,부산광역시 사하구 장림번영로 59,부산광역시 사하구 장림동 317-9,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.080699,128.971787,2023-02-16
198,부산광역시 사하구청,부산광역시 사하구 장림번영로 59,부산광역시 사하구 장림동 317-9,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.080699,128.971787,2023-02-16
199,부산광역시 사하구청,부산광역시 사하구 장평로195번길 76,부산광역시 사하구 장림동 1033-49,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.083921,128.968832,2023-02-16
200,부산광역시 사하구청,부산광역시 사하구 장평로195번길 76,부산광역시 사하구 장림동 1033-49,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.083921,128.968832,2023-02-16
201,부산광역시 사하구청,부산광역시 사하구 장림동 845-4,부산광역시 사하구 장림동 845-4,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.0789359,128.964750,2023-02-16
202,부산광역시 사하구청,부산광역시 사하구 장림동 845-4,부산광역시 사하구 장림동 845-4,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.078935,128.964750,2023-02-16
203,부산광역시 사하구청,부산광역시 사하구 장림동 845-4,부산광역시 사하구 장림동 845-4,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.078935,128.964750,2023-02-16
204,부산광역시 사하구청,부산광역시 사하구 장림동 845-4,부산광역시 사하구 장림동 845-4,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.0789359,128.9647508,2023-02-16
205,부산광역시 사하구청,부산광역시 사하구 장림동 818-7,부산광역시 사하구 장림동 818-7,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.07955220,128.964797,2023-02-16
206,부산광역시 사하구청,부산광역시 사하구 장림동 818-7,부산광역시 사하구 장림동 818-7,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.07955220,128.964797,2023-02-16
207,부산광역시 사하구청,부산광역시 사하구 장림시장4길 3,부산광역시 사하구 장림동 782-4,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.08126,128.965376,2023-02-16
208,부산광역시 사하구청,부산광역시 사하구 장림로 93번길 23,부산광역시 사하구 장림동 1081-3,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.080774,128.957121,2023-02-16
209,부산광역시 사하구청,부산광역시 사하구 장림로 93번길 23,부산광역시 사하구 장림동 1081-3,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.080774,128.957121,2023-02-16
210,부산광역시 사하구청,부산광역시 사하구 장림로 93번길 23,부산광역시 사하구 장림동 1081-3,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.080774,128.957121,2023-02-16
211,부산광역시 사하구청,부산광역시 사하구 장림번영로28번길 39-5,부산광역시 사하구 장림동 633-3,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.078925,128.96755,2023-02-16
212,부산광역시 사하구청,부산광역시 사하구 장림번영로28번길 39-5,부산광역시 사하구 장림동 633-3,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.078925,128.96755,2023-02-16
213,부산광역시 사하구청,부산광역시 사하구 다대로271번길 10,부산광역시 사하구 장림동 258,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.0785,128.97828,2023-02-16
214,부산광역시 사하구청,부산광역시 사하구 다대로271번길 10,부산광역시 사하구 장림동 258,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.0785,128.97828,2023-02-16
215,부산광역시 사하구청,부산광역시 사하구 다대로 246,부산광역시 사하구 장림동 192-8,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.080475,128.977215,2023-02-16
216,부산광역시 사하구청,부산광역시 사하구 다대로 246,부산광역시 사하구 장림동 192-8,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.080475,128.977215,2023-02-16
217,부산광역시 사하구청,부산광역시 사하구 장평로 31-5,부산광역시 사하구 장림동 534,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.068826,128.973414,2023-02-16
218,부산광역시 사하구청,부산광역시 사하구 장평로 31-5,부산광역시 사하구 장림동 534,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.068826,128.973414,2023-02-16
219,부산광역시 사하구청,부산광역시 사하구 장평로 131,부산광역시 사하구 장림동 601,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.077903,128.972532,2023-02-16
220,부산광역시 사하구청,부산광역시 사하구 장평로125번길 30,부산광역시 사하구 장림동 604-101,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.077736,128.972226,2023-02-16
221,부산광역시 사하구청,부산광역시 사하구 장평로125번길 30,부산광역시 사하구 장림동 604-101,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.077736,128.972226,2023-02-16
222,부산광역시 사하구청,부산광역시 사하구 장평로125번길 30,부산광역시 사하구 장림동 604-101,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.077736,128.972226,2023-02-16
223,부산광역시 사하구청,부산광역시 사하구 장평로125번길 30,부산광역시 사하구 장림동 604-101,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.077736,128.972226,2023-02-16
224,부산광역시 사하구청,부산광역시 사하구 다대로300번길 34,부산광역시 사하구 장림동 392-1,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.075472,128.974447,2023-02-16
225,부산광역시 사하구청,부산광역시 사하구 다대로300번길 34,부산광역시 사하구 장림동 392-1,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.075472,128.974447,2023-02-16
226,부산광역시 사하구청,부산광역시 사하구 다대로300번길 34,부산광역시 사하구 장림동 392-1,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.075472,128.974447,2023-02-16
227,부산광역시 사하구청,부산광역시 사하구 두송로 65,부산광역시 사하구 장림동 60-17,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.07781,128.982738,2023-02-16
228,부산광역시 사하구청,부산광역시 사하구 두송로 65,부산광역시 사하구 장림동 60-17,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.07781,128.982738,2023-02-16
229,부산광역시 사하구청,부산광역시 사하구 두송로 65,부산광역시 사하구 장림동 60-17,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.07781,128.982738,2023-02-16
230,부산광역시 사하구청,부산광역시 사하구 장평로139번길 13,부산광역시 사하구 장림동 610-17,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.078808,128.972348,2023-02-16
231,부산광역시 사하구청,부산광역시 사하구 장평로139번길 13,부산광역시 사하구 장림동 610-17,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.078808,128.972348,2023-02-16
232,부산광역시 사하구청,부산광역시 사하구 장림번영로 84번길 21,부산광역시 사하구 장림동 339-5,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.0796,128.974488,2023-02-16
233,부산광역시 사하구청,부산광역시 사하구 장림번영로 84번길 21,부산광역시 사하구 장림동 339-5,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.0796,128.974488,2023-02-16
234,부산광역시 사하구청,부산광역시 사하구 장평로 111-3,부산광역시 사하구 장림동 587-2,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.075926,128.972344,2023-02-16
235,부산광역시 사하구청,부산광역시 사하구 장평로 111-3,부산광역시 사하구 장림동 587-2,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.075926,128.972344,2023-02-16
236,부산광역시 사하구청,부산광역시 사하구 장평로 111-3,부산광역시 사하구 장림동 587-2,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.075926,128.972344,2023-02-16
237,부산광역시 사하구청,부산광역시 사하구 장림번영로 81,부산광역시 사하구 장림동 316-9,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.080683,128.974075,2023-02-16
238,부산광역시 사하구청,부산광역시 사하구 장림번영로 81,부산광역시 사하구 장림동 316-9,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.080683,128.974075,2023-02-16
239,부산광역시 사하구청,부산광역시 사하구 다대동로53번길 5,부산광역시 사하구 다대동 194-3,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.057969,128.973401,2023-02-16
240,부산광역시 사하구청,부산광역시 사하구 다대동로53번길 5,부산광역시 사하구 다대동 194-3,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.057969,128.973401,2023-02-16
241,부산광역시 사하구청,부산광역시 사하구 다대동로53번길 5,부산광역시 사하구 다대동 194-3,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.057969,128.973401,2023-02-16
242,부산광역시 사하구청,부산광역시 사하구 윤공단로 25-5,부산광역시 사하구 다대동 964,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.054735,128.966416,2023-02-16
243,부산광역시 사하구청,부산광역시 사하구 윤공단로 25-5,부산광역시 사하구 다대동 964,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.054735,128.966416,2023-02-16
244,부산광역시 사하구청,부산광역시 사하구 윤공단로 25-5,부산광역시 사하구 다대동 964,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.054735,128.966416,2023-02-16
245,부산광역시 사하구청,부산광역시 사하구 다대로568번길 16,부산광역시 사하구 다대동 1480,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.055323,128.969737,2023-02-16
246,부산광역시 사하구청,부산광역시 사하구 다대로568번길 16,부산광역시 사하구 다대동 1480,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.055323,128.969737,2023-02-16
247,부산광역시 사하구청,부산광역시 사하구 윤공단로 116,부산광역시 사하구 다대동 1247-2,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.060819,128.972119,2023-02-16
248,부산광역시 사하구청,부산광역시 사하구 윤공단로 116,부산광역시 사하구 다대동 1247-2,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.060819,128.972119,2023-02-16
249,부산광역시 사하구청,부산광역시 사하구 다산로 46,부산광역시 사하구 다대동 1538,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.057077,128.959394,2023-02-16
250,부산광역시 사하구청,부산광역시 사하구 다산로 46,부산광역시 사하구 다대동 1538,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.057077,128.959394,2023-02-16
251,부산광역시 사하구청,부산광역시 사하구 다산로 46,부산광역시 사하구 다대동 1538,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.057077,128.959394,2023-02-16
252,부산광역시 사하구청,부산광역시 사하구 다산로 46,부산광역시 사하구 다대동 1538,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.057077,128.959394,2023-02-16
253,부산광역시 사하구청,부산광역시 사하구 다대로 636,부산광역시 사하구 다대동 1552-2,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.04954,128.969917,2023-02-16
254,부산광역시 사하구청,부산광역시 사하구 다대로 636,부산광역시 사하구 다대동 1552-2,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.04954,128.969917,2023-02-16
255,부산광역시 사하구청,부산광역시 사하구 다대로 636,부산광역시 사하구 다대동 1552-2,다목적,1,200,360도 전방면,30,2020-09,051-220-4344,35.04954,128.969917,2023-02-16
256,부산광역시 사하구청,부산광역시 사하구 사하로201,부산광역시 사하구 괴정동968-1,다목적,1,200,360도 전방면,30,2022-11,051-220-4344,35.09963,128.993248,2023-02-16
257,부산광역시 사하구청,부산광역시 사하구 사하로201,부산광역시 사하구 괴정동968-1,다목적,1,200,360도 전방면,30,2022-11,051-220-4344,35.09963,128.993248,2023-02-16
258,부산광역시 사하구청,부산광역시 사하구 낙동대로223,부산광역시 사하구 괴정동971-6,다목적,1,200,360도 전방면,30,2022-11,051-220-4344,35.0998,128.99253,2023-02-16
259,부산광역시 사하구청,부산광역시 사하구 장평로420번길63,부산광역시 사하구 괴정동1265-3,다목적,1,200,360도 전방면,30,2022-11,051-220-4344,35.094233,128.986052,2023-02-16
260,부산광역시 사하구청,부산광역시 사하구 까치고개로15,부산광역시 사하구 괴정동1239,다목적,1,200,360도 전방면,30,2022-11,051-220-4344,35.103702,129.004116,2023-02-16
