번호,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,관리기관전화번호,WGS84위도,WGS84경도,데이터기준일자,geometry
326,부산광역시 사하구청,부산광역시 사하구 다대로22번길27,부산광역시 사하구 당리동509-5,다목적,1,200,360도 전방면,30,Nov-22,051-220-4344,35.099801,128.975846,2023-02-16,[35.099801 128.975846]
327,부산광역시 사하구청,부산광역시 사하구 다대로22번길27,부산광역시 사하구 당리동509-5,다목적,1,200,360도 전방면,30,Nov-22,051-220-4344,35.099114,128.976115,2023-02-16,[35.099114 128.976115]
328,부산광역시 사하구청,부산광역시 사하구 다대로22번길27,부산광역시 사하구 당리동509-5,다목적,1,200,360도 전방면,30,Nov-22,051-220-4344,35.099114,128.976115,2023-02-16,[35.099114 128.976115]
329,부산광역시 사하구청,부산광역시 사하구 제석로242,부산광역시 사하구 당리동산4-8,다목적,1,200,360도 전방면,30,Nov-22,051-220-4344,35.115362,128.98919,2023-02-16,[35.115362 128.98919]
330,부산광역시 사하구청,부산광역시 사하구 제석로242,부산광역시 사하구 당리동산4-8,다목적,1,200,360도 전방면,30,Nov-22,051-220-4344,35.115362,128.98919,2023-02-16,[35.115362 128.98919]
331,부산광역시 사하구청,부산광역시 사하구 감내1로197번길 24,부산광역시 사하구 감천2동 6-1446,다목적,1,200,360도 전방면,30,Jul-12,051-220-4344,35.096541,129.008579,2023-02-16,[35.096541 129.008579]
332,부산광역시 사하구청,부산광역시 사하구 감내1로175번길 43,부산광역시 사하구 감천2동 6-493,다목적,1,200,360도 전방면,30,Jul-12,051-220-4344,35.096397,129.009063,2023-02-16,[35.096397 129.009063]
333,부산광역시 사하구청,부산광역시 사하구 감내2로 92,부산광역시 사하구 감천2동 6-1773,다목적,1,200,360도 전방면,30,Jul-12,051-220-4344,35.096642,129.008096,2023-02-16,[35.096642 129.008096]
334,부산광역시 사하구청,부산광역시 사하구 감내1로175번길 89,부산광역시 사하구 감천2동 6-1169,다목적,1,200,360도 전방면,30,Jul-12,051-220-4344,35.097272,129.008662,2023-02-16,[35.097272 129.008662]
335,부산광역시 사하구청,부산광역시 사하구 감내1로175번길 74,부산광역시 사하구 감천2동 6-1294,다목적,1,200,360도 전방면,30,Jul-12,051-220-4344,35.097038,129.008919,2023-02-16,[35.097038 129.008919]
336,부산광역시 사하구청,부산광역시 사하구 감천동 6-1723,부산광역시 사하구 감천동 6-1723,다목적,1,200,360도 전방면,30,Jul-12,051-220-4344,35.095705,129.007533,2023-02-16,[35.095705 129.007533]
337,부산광역시 사하구청,부산광역시 사하구 장평로146번길 15,부산광역시 사하구 장림동 338-10,다목적,1,200,360도 전방면,30,Dec-17,051-220-4344,35.0785315,128.9744485,2023-02-16,[35.0785315 128.9744485]
338,부산광역시 사하구청,부산광역시 사하구 당리동산4-8,부산광역시 사하구 당리동산4-8,다목적,1,200,360도 전방면,30,Nov-22,051-220-4344,35.112693,128.985912,2023-02-16,[35.112693 128.985912]
339,부산광역시 사하구청,부산광역시 사하구 당리동산4-8,부산광역시 사하구 당리동산4-8,다목적,1,200,360도 전방면,30,Nov-22,051-220-4344,35.112693,128.985912,2023-02-16,[35.112693 128.985912]
340,부산광역시 사하구청,부산광역시 사하구 당리동산4-8,부산광역시 사하구 당리동산4-8,다목적,1,200,360도 전방면,30,Nov-22,051-220-4344,35.112693,128.985912,2023-02-16,[35.112693 128.985912]
341,부산광역시 사하구청,부산광역시 사하구 승학로108번길11,부산광역시 사하구 당리동322,다목적,1,200,360도 전방면,30,Nov-22,051-220-4344,35.102548,128.979345,2023-02-16,[35.102548 128.979345]
342,부산광역시 사하구청,부산광역시 사하구 승학로108번길11,부산광역시 사하구 당리동322,다목적,1,200,360도 전방면,30,Nov-22,051-220-4344,35.102548,128.979345,2023-02-16,[35.102548 128.979345]
343,부산광역시 사하구청,부산광역시 사하구 승학로108번길11,부산광역시 사하구 당리동322,다목적,1,200,360도 전방면,30,Nov-22,051-220-4344,35.102548,128.979345,2023-02-16,[35.102548 128.979345]
344,부산광역시 사하구청,부산광역시 사하구 하신번영로201번길10,부산광역시 사하구 하단동1188,다목적,1,200,360도 전방면,30,Nov-22,051-220-4344,35.099088,128.95765,2023-02-16,[35.099088 128.95765]
345,부산광역시 사하구청,부산광역시 사하구 하신번영로201번길10,부산광역시 사하구 하단동1188,다목적,1,200,360도 전방면,30,Nov-22,051-220-4344,35.099088,128.95765,2023-02-16,[35.099088 128.95765]
346,부산광역시 사하구청,부산광역시 사하구 하신번영로201번길10,부산광역시 사하구 하단동1188,다목적,1,200,360도 전방면,30,Nov-22,051-220-4344,35.099088,128.95765,2023-02-16,[35.099088 128.95765]
347,부산광역시 사하구청,부산광역시 사하구 감천동 140-2,부산광역시 사하구 감천동 140-2,다목적,1,200,360도 전방면,30,Nov-20,051-220-4344,35.08363,129.006759,2023-02-16,[35.08363 129.006759]
348,부산광역시 사하구청,부산광역시 사하구 사하로186번라길 24,부산광역시 사하구 괴정동436-36,다목적,1,200,360도 전방면,30,Dec-20,051-220-4344,35.099561,128.995192,2023-02-16,[35.099561 128.995192]
349,부산광역시 사하구청,부산광역시 사하구 사하로186번라길 24,부산광역시 사하구 괴정동436-36,다목적,1,200,360도 전방면,30,Dec-20,051-220-4344,35.099561,128.995192,2023-02-16,[35.099561 128.995192]
350,부산광역시 사하구청,부산광역시 사하구 감천로139번길 14,부산광역시 사하구 감천동 30-73,다목적,3,200,360도 전방면,30,Apr-21,051-220-4344,35.0871651,129.006625,2023-02-16,[35.0871651 129.006625]
351,부산광역시 사하구청,부산광역시 사하구 감천로139번나길2,부산광역시 사하구 감천동35,다목적,3,200,360도 전방면,30,Apr-21,051-220-4344,35.087063,129.006749,2023-02-16,[35.087063 129.006749]
352,부산광역시 사하구청,부산광역시 사하구 괴정로 246번길 11,부산광역시 사하구 괴정동 534-23,다목적,1,200,360도 전방면,30,Jun-21,051-220-4344,35.096508,128.988891,2023-02-16,[35.096508 128.988891]
353,부산광역시 사하구청,부산광역시 사하구 괴정로 232번길 40,부산광역시 사하구 괴정동 540-12,다목적,1,200,360도 전방면,30,Jun-21,051-220-4344,35.09505,128.986206,2023-02-16,[35.09505 128.986206]
354,부산광역시 사하구청,부산광역시 사하구 괴정로 245번길 11-8,부산광역시 사하구 괴정동 547-11,다목적,1,200,360도 전방면,30,Jun-21,051-220-4344,35.097415,128.98767,2023-02-16,[35.097415 128.98767]
355,부산광역시 사하구청,부산광역시 사하구 승학로 233번길 49,부산광역시 사하구 괴정동 1065-1,다목적,1,200,360도 전방면,30,Jun-21,051-220-4344,35.10406,128.989767,2023-02-16,[35.10406 128.989767]
356,부산광역시 사하구청,부산광역시 사하구 까치고개로 42,부산광역시 사하구 괴정동 12-21,다목적,1,200,360도 전방면,30,Jun-21,051-220-4344,35.104873,129.006423,2023-02-16,[35.104873 129.006423]
357,부산광역시 사하구청,부산광역시 사하구 대티로17번길47,부산광역시 사하구 괴정동207-52,다목적,1,200,360도 전방면,30,Jun-21,051-220-4344,35.105609,129.002583,2023-02-16,[35.105609 129.002583]
358,부산광역시 사하구청,부산광역시 사하구 낙동대로 179번길 24-2,부산광역시 사하구 괴정동 409-71,다목적,1,200,360도 전방면,30,Jun-21,051-220-4344,35.100475,128.997146,2023-02-16,[35.100475 128.997146]
359,부산광역시 사하구청,부산광역시 사하구 낙동대로 199번길 16,부산광역시 사하구 괴정동 436-14,다목적,1,200,360도 전방면,30,Jun-21,051-220-4344,35.099903,128.995422,2023-02-16,[35.099903 128.995422]
360,부산광역시 사하구청,부산광역시 사하구 낙동대로 199번길 16,부산광역시 사하구 괴정동 436-14,다목적,1,200,360도 전방면,30,Jun-21,051-220-4344,35.099903,128.995422,2023-02-16,[35.099903 128.995422]
361,부산광역시 사하구청,부산광역시 사하구 낙동대로 199번길 16,부산광역시 사하구 괴정동 436-14,다목적,1,200,360도 전방면,30,Jun-21,051-220-4344,35.099903,128.995422,2023-02-16,[35.099903 128.995422]
362,부산광역시 사하구청,부산광역시 사하구 낙동대로 199번길 16,부산광역시 사하구 괴정동 436-14,다목적,1,200,360도 전방면,30,Jun-21,051-220-4344,35.099903,128.995422,2023-02-16,[35.099903 128.995422]
363,부산광역시 사하구청,부산광역시 사하구 오작로 8번길 50,부산광역시 사하구 괴정동 457,다목적,1,200,360도 전방면,30,Jun-21,051-220-4344,35.095577,128.995986,2023-02-16,[35.095577 128.995986]
364,부산광역시 사하구청,부산광역시 사하구 사하로 156번길 9-15,부산광역시 사하구 괴정동 477-12,다목적,1,200,360도 전방면,30,Jun-21,051-220-4344,35.09599,128.994334,2023-02-16,[35.09599 128.994334]
365,부산광역시 사하구청,부산광역시 사하구 낙동대로 203,부산광역시 사하구 괴정동 1275,다목적,1,200,360도 전방면,30,Jun-21,051-220-4344,35.100311,128.994437,2023-02-16,[35.100311 128.994437]
366,부산광역시 사하구청,부산광역시 사하구 승학로 2번길 1,부산광역시 사하구 당리동 302-7,다목적,1,200,360도 전방면,30,Jun-21,051-220-4344,35.106403,128.969558,2023-02-16,[35.106403 128.969558]
367,부산광역시 사하구청,부산광역시 사하구 동매로 19번길 21,부산광역시 사하구 하단동 870-33,다목적,1,200,360도 전방면,30,Jun-21,051-220-4344,35.104518,128.960525,2023-02-16,[35.104518 128.960525]
368,부산광역시 사하구청,부산광역시 사하구 낙동남로1352-6,부산광역시 사하구 하단동 893-3,다목적,1,200,360도 전방면,30,Jun-21,051-220-4344,35.1056037,128.959582,2023-02-16,[35.1056037 128.959582]
369,부산광역시 사하구청,부산광역시 사하구 하신번영로 233,부산광역시 사하구 하단동 1175,다목적,1,200,360도 전방면,30,Jun-21,051-220-4344,35.101863,128.958084,2023-02-16,[35.101863 128.958084]
370,부산광역시 사하구청,부산광역시 사하구 하신번영로 380번길 30,부산광역시 사하구 하단동 480-3,다목적,1,200,360도 전방면,30,Jun-21,051-220-4344,35.113407,128.961059,2023-02-16,[35.113407 128.961059]
371,부산광역시 사하구청,부산광역시 사하구 장평로145번길 9,부산광역시 사하구 장림동 348-35,다목적,1,200,360도 전방면,30,Dec-17,051-220-4344,35.0792356,128.9724711,2023-02-16,[35.0792356 128.9724711]
372,부산광역시 사하구청,부산광역시 사하구 장평로 125,부산광역시 사하구 장림동 604-203,다목적,1,200,360도 전방면,30,Dec-17,051-220-4344,35.077233,128.9728229,2023-02-16,[35.077233 128.9728229]
373,부산광역시 사하구청,부산광역시 사하구 장평로133번길 31,부산광역시 사하구 장림동 605-45,다목적,1,200,360도 전방면,30,Dec-17,051-220-4344,35.0777465,128.9713912,2023-02-16,[35.0777465 128.9713912]
374,부산광역시 사하구청,부산광역시 사하구 장림시장 8길 217,부산광역시 사하구 장림동 615-251,다목적,1,200,360도 전방면,30,Dec-17,051-220-4344,35.0791311,128.9706583,2023-02-16,[35.0791311 128.9706583]
375,부산광역시 사하구청,부산광역시 사하구 두송로26번길 46,부산광역시 사하구 장림동 44-11,다목적,1,200,360도 전방면,30,Dec-17,051-220-4344,35.0771073,128.9801439,2023-02-16,[35.0771073 128.9801439]
376,부산광역시 사하구청,부산광역시 사하구 두송로26번길 62,부산광역시 사하구 장림동 24,다목적,1,200,360도 전방면,30,Dec-17,051-220-4344,35.0765595,128.9803668,2023-02-16,[35.0765595 128.9803668]
377,부산광역시 사하구청,부산광역시 사하구 다대로277번길 25,부산광역시 사하구 장림동 44,다목적,1,200,360도 전방면,30,Dec-17,051-220-4344,35.0772047,128.9787956,2023-02-16,[35.0772047 128.9787956]
378,부산광역시 사하구청,부산광역시 사하구 다대로271번길 26,부산광역시 사하구 장림동 269,다목적,1,200,360도 전방면,30,Dec-17,051-220-4344,35.0777658,128.9786232,2023-02-16,[35.0777658 128.9786232]
379,부산광역시 사하구청,부산광역시 사하구 장림동 372-3,부산광역시 사하구 장림동 372-3,다목적,1,200,360도 전방면,30,Dec-17,051-220-4344,35.0758308,128.9770849,2023-02-16,[35.0758308 128.9770849]
380,부산광역시 사하구청,부산광역시 사하구 두송로 68,부산광역시 사하구 장림동 60-39,다목적,3,200,360도 전방면,30,Dec-17,051-220-4344,35.0773311,128.9818392,2023-02-16,[35.0773311 128.9818392]
381,부산광역시 사하구청,부산광역시 사하구 다대동로8번길 91,부산광역시 사하구 다대동 355-47,다목적,1,200,360도 전방면,30,Dec-17,051-220-4344,35.0571319,128.9740098,2023-02-16,[35.0571319 128.9740098]
382,부산광역시 사하구청,부산광역시 사하구 다대로530번길 15,부산광역시 사하구 다대동 934-20,다목적,1,200,360도 전방면,30,Dec-17,051-220-4344,35.0594136,128.9714187,2023-02-16,[35.0594136 128.9714187]
383,부산광역시 사하구청,부산광역시 사하구 윤공단로75번길 28,부산광역시 사하구 다대동 1030,다목적,1,200,360도 전방면,30,Dec-17,051-220-4344,35.0585481,128.9668885,2023-02-16,[35.0585481 128.9668885]
384,부산광역시 사하구청,부산광역시 사하구 윤공단로 132,부산광역시 사하구 다대동 927-5,다목적,1,200,360도 전방면,30,Dec-17,051-220-4344,35.0613605,128.97291,2023-02-16,[35.0613605 128.97291]
385,부산광역시 사하구청,부산광역시 사하구 다대동로 20,부산광역시 사하구 다대동 680-2,다목적,1,200,360도 전방면,30,Dec-17,051-220-4344,35.05557,128.9718,2023-02-16,[35.05557 128.9718]
386,부산광역시 사하구청,부산광역시 사하구 다대동로 48,부산광역시 사하구 다대동 850-5,다목적,1,200,360도 전방면,30,Dec-17,051-220-4344,35.05733,128.97306,2023-02-16,[35.05733 128.97306]
387,부산광역시 사하구청,부산광역시 사하구 윤공단로 23,부산광역시 사하구 다대동 958,다목적,1,200,360도 전방면,30,Dec-17,051-220-4344,35.05468,128.96776,2023-02-16,[35.05468 128.96776]
388,부산광역시 사하구청,부산광역시 사하구 다대동 957-3,부산광역시 사하구 다대동 957-3,다목적,1,200,360도 전방면,30,Dec-17,051-220-4344,35.0543,128.96852,2023-02-16,[35.0543 128.96852]
389,부산광역시 사하구청,부산광역시 사하구 다대로 584,부산광역시 사하구 다대동 647-6,다목적,1,200,360도 전방면,30,Dec-17,051-220-4344,35.05433,128.97055,2023-02-16,[35.05433 128.97055]
390,부산광역시 사하구청,부산광역시 사하구 다대로564,부산광역시 사하구 다대동766-11,다목적,1,200,360도 전방면,30,Dec-17,051-220-4344,35.05602,128.97039,2023-02-16,[35.05602 128.97039]
391,부산광역시 사하구청,부산광역시 사하구 윤공단로 103,부산광역시 사하구 다대동 930-1,다목적,1,200,360도 전방면,30,Dec-17,051-220-4344,35.06014,128.97038,2023-02-16,[35.06014 128.97038]
392,부산광역시 사하구청,부산광역시 사하구 다대로554번길 23,부산광역시 사하구 다대동 944-1,다목적,1,200,360도 전방면,30,Dec-17,051-220-4344,35.05744,128.96943,2023-02-16,[35.05744 128.96943]
393,부산광역시 사하구청,부산광역시 사하구 몰운대2길 1,부산광역시 사하구 다대동 468-21,다목적,1,200,360도 전방면,30,Dec-17,051-220-4344,35.04616,128.96903,2023-02-16,[35.04616 128.96903]
394,부산광역시 사하구청,부산광역시 사하구 다대동 411-32,부산광역시 사하구 다대동 411-32,다목적,1,200,360도 전방면,30,Dec-17,051-220-4344,35.04814,128.97003,2023-02-16,[35.04814 128.97003]
395,부산광역시 사하구청,부산광역시 사하구 다송로84번길 132,부산광역시 사하구 다대동 316-12,다목적,1,200,360도 전방면,30,Dec-17,051-220-4344,35.05777,128.97905,2023-02-16,[35.05777 128.97905]
396,부산광역시 사하구청,부산광역시 사하구 다대로381번길 60,부산광역시 사하구 다대동 93-7,다목적,1,200,360도 전방면,30,Dec-17,051-220-4344,35.06671,128.98359,2023-02-16,[35.06671 128.98359]
397,부산광역시 사하구청,부산광역시 사하구 을숙도대로755번길 28,부산광역시 사하구 구평동 20-3,다목적,1,200,360도 전방면,30,Dec-17,051-220-4344,35.08702,128.98745,2023-02-16,[35.08702 128.98745]
398,부산광역시 사하구청,부산광역시 사하구 감천로42번길 21-1,부산광역시 사하구 감천동 789-3,다목적,1,200,360도 전방면,30,Dec-17,051-220-4344,35.08877,128.99601,2023-02-16,[35.08877 128.99601]
399,부산광역시 사하구청,부산광역시 사하구 낙동대로519번길 80,부산광역시 사하구 하단동 501,다목적,1,200,360도 전방면,30,Dec-17,051-220-4344,35.11071,128.96093,2023-02-16,[35.11071 128.96093]
400,부산광역시 사하구청,부산광역시 사하구 낙동대로519번길 80,부산광역시 사하구 하단동 501,다목적,1,200,360도 전방면,30,Sep-22,051-220-4344,35.11071,128.96093,2023-02-16,[35.11071 128.96093]
401,부산광역시 사하구청,부산광역시 사하구 낙동대로519번길 80,부산광역시 사하구 하단동 501,다목적,1,200,360도 전방면,30,Sep-22,051-220-4344,35.11071,128.96093,2023-02-16,[35.11071 128.96093]
402,부산광역시 사하구청,부산광역시 사하구 낙동대로519번길 80,부산광역시 사하구 하단동 501,다목적,1,200,360도 전방면,30,Sep-22,051-220-4344,35.11071,128.96093,2023-02-16,[35.11071 128.96093]
403,부산광역시 사하구청,부산광역시 사하구 괴정동207-62,부산광역시 사하구 괴정동207-62,다목적,1,200,360도 전방면,30,Dec-17,051-220-4344,35.10529,129.00154,2023-02-16,[35.10529 129.00154]
404,부산광역시 사하구청,부산광역시 사하구 낙동대로 535번길 54,부산광역시 사하구 하단동 487-26,다목적,1,200,360도 전방면,30,Jun-21,051-220-4344,35.111423,128.961578,2023-02-16,[35.111423 128.961578]
405,부산광역시 사하구청,부산광역시 사하구 낙동남로 1423번길 113,부산광역시 사하구 하단동 499-4,다목적,1,200,360도 전방면,30,Jun-21,051-220-4344,35.111175,128.96434,2023-02-16,[35.111175 128.96434]
406,부산광역시 사하구청,부산광역시 사하구 승학로 3번길 96-3,부산광역시 사하구 하단동 507-7,다목적,1,200,360도 전방면,30,Jun-21,051-220-4344,35.110351,128.967163,2023-02-16,[35.110351 128.967163]
407,부산광역시 사하구청,부산광역시 사하구 낙동남로 1361번길 9,부산광역시 사하구 하단동 870-84,다목적,1,200,360도 전방면,30,Jun-21,051-220-4344,35.107013,128.960479,2023-02-16,[35.107013 128.960479]
408,부산광역시 사하구청,부산광역시 사하구 대티로41번길50,부산광역시 사하구 괴정동193-175,다목적,1,200,360도 전방면,30,Aug-21,051-220-4344,35.10788,129.003495,2023-02-16,[35.10788 129.003495]
409,부산광역시 사하구청,부산광역시 사하구 대티로41번길50,부산광역시 사하구 괴정동193-175,다목적,1,200,360도 전방면,30,Aug-21,051-220-4344,35.10788,129.003495,2023-02-16,[35.10788 129.003495]
410,부산광역시 사하구청,부산광역시 사하구 대티로63번나길 12,부산광역시 사하구 괴정동 193-187,다목적,1,200,360도 전방면,30,Aug-21,051-220-4344,35.107739,129.005113,2023-02-16,[35.107739 129.005113]
411,부산광역시 사하구청,부산광역시 사하구 대티로63번나길 12,부산광역시 사하구 괴정동 193-187,다목적,1,200,360도 전방면,30,Aug-21,051-220-4344,35.107739,129.005113,2023-02-16,[35.107739 129.005113]
412,부산광역시 사하구청,부산광역시 사하구 대티로63번길 28-3,부산광역시 사하구 괴정동 100-36,다목적,1,200,360도 전방면,30,Aug-21,051-220-4344,35.1070459,129.005548,2023-02-16,[35.1070459 129.005548]
413,부산광역시 사하구청,부산광역시 사하구 대티로63번길 28-3,부산광역시 사하구 괴정동 100-36,다목적,1,200,360도 전방면,30,Aug-21,051-220-4344,35.1070459,129.005548,2023-02-16,[35.1070459 129.005548]
414,부산광역시 사하구청,부산광역시 사하구 대티로63번가길 11-1,부산광역시 사하구 괴정동 100-88,다목적,1,200,360도 전방면,30,Aug-21,051-220-4344,35.107486,129.006962,2023-02-16,[35.107486 129.006962]
415,부산광역시 사하구청,부산광역시 사하구 대티로63번가길 11-1,부산광역시 사하구 괴정동 100-88,다목적,1,200,360도 전방면,30,Aug-21,051-220-4344,35.107486,129.006962,2023-02-16,[35.107486 129.006962]
416,부산광역시 사하구청,부산광역시 사하구 대티로81번길 22,부산광역시 사하구 괴정동 100-103,다목적,1,200,360도 전방면,30,Aug-21,051-220-4344,35.107277,129.007666,2023-02-16,[35.107277 129.007666]
417,부산광역시 사하구청,부산광역시 사하구 대티로81번길 22,부산광역시 사하구 괴정동 100-103,다목적,1,200,360도 전방면,30,Aug-21,051-220-4344,35.107277,129.0076668,2023-02-16,[35.107277 129.0076668]
418,부산광역시 사하구청,부산광역시 사하구 대티로107번길 59,부산광역시 사하구 괴정동 100-47,다목적,1,200,360도 전방면,30,Aug-21,051-220-4344,35.10779,129.00789,2023-02-16,[35.10779 129.00789]
419,부산광역시 사하구청,부산광역시 사하구 대티로107번길 59,부산광역시 사하구 괴정동 100-47,다목적,1,200,360도 전방면,30,Aug-21,051-220-4344,35.107791,129.00789,2023-02-16,[35.107791 129.00789]
420,부산광역시 사하구청,부산광역시 사하구 신평동 354-10,부산광역시 사하구 신평동 354-10,다목적,1,200,360도 전방면,30,Feb-22,051-220-4344,35.092255,128.968906,2023-02-16,[35.092255 128.968906]
421,부산광역시 사하구청,부산광역시 사하구 신평동 354-10,부산광역시 사하구 신평동 354-10,다목적,1,200,360도 전방면,30,Feb-22,051-220-4344,35.092255,128.968906,2023-02-16,[35.092255 128.968906]
422,부산광역시 사하구청,부산광역시 사하구 신평동 354-10,부산광역시 사하구 신평동 354-10,다목적,1,200,360도 전방면,30,Feb-22,051-220-4344,35.092255,128.968906,2023-02-16,[35.092255 128.968906]
423,부산광역시 사하구청,부산광역시 사하구 신평동 354-10,부산광역시 사하구 신평동 354-10,다목적,1,200,360도 전방면,30,Feb-22,051-220-4344,35.092343,128.968683,2023-02-16,[35.092343 128.968683]
424,부산광역시 사하구청,부산광역시 사하구 신평동 354-10,부산광역시 사하구 신평동 354-10,다목적,1,200,360도 전방면,30,Feb-22,051-220-4344,35.092343,128.968683,2023-02-16,[35.092343 128.968683]
425,부산광역시 사하구청,부산광역시 사하구 신평동 354-10,부산광역시 사하구 신평동 354-10,다목적,1,200,360도 전방면,30,Feb-22,051-220-4344,35.092343,128.968683,2023-02-16,[35.092343 128.968683]
426,부산광역시 사하구청,부산광역시 사하구 신평동 354-10,부산광역시 사하구 신평동 354-10,다목적,1,200,360도 전방면,30,Feb-22,051-220-4344,35.092602,128.96871,2023-02-16,[35.092602 128.96871]
427,부산광역시 사하구청,부산광역시 사하구 신평동 354-10,부산광역시 사하구 신평동 354-10,다목적,1,200,360도 전방면,30,Feb-22,051-220-4344,35.092602,128.96871,2023-02-16,[35.092602 128.96871]
428,부산광역시 사하구청,부산광역시 사하구 신평동 354-10,부산광역시 사하구 신평동 354-10,다목적,1,200,360도 전방면,30,Feb-22,051-220-4344,35.092602,128.96871,2023-02-16,[35.092602 128.96871]
429,부산광역시 사하구청,부산광역시 사하구 신평동 354-10,부산광역시 사하구 신평동 354-10,다목적,1,200,360도 전방면,30,Feb-22,051-220-4344,35.092923,128.96878,2023-02-16,[35.092923 128.96878]
430,부산광역시 사하구청,부산광역시 사하구 신평동 354-10,부산광역시 사하구 신평동 354-10,다목적,1,200,360도 전방면,30,Feb-22,051-220-4344,35.092923,128.96878,2023-02-16,[35.092923 128.96878]
431,부산광역시 사하구청,부산광역시 사하구 신평동 354-10,부산광역시 사하구 신평동 354-10,다목적,1,200,360도 전방면,30,Feb-22,051-220-4344,35.092923,128.96878,2023-02-16,[35.092923 128.96878]
432,부산광역시 사하구청,부산광역시 사하구 괴정동 218-31,부산광역시 사하구 괴정동 218-31,다목적,1,200,360도 전방면,30,Apr-22,051-220-4344,35.108206,128.99877,2023-02-16,[35.108206 128.99877]
433,부산광역시 사하구청,부산광역시 사하구 괴정동 산9,부산광역시 사하구 괴정동 산9,다목적,1,200,360도 전방면,30,Apr-22,051-220-4344,35.106358,129.000982,2023-02-16,[35.106358 129.000982]
434,부산광역시 사하구청,부산광역시 사하구 괴정동 산9,부산광역시 사하구 괴정동 산9,다목적,1,200,360도 전방면,30,Apr-22,051-220-4344,35.106358,129.000982,2023-02-16,[35.106358 129.000982]
